epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
110,245.645,1.13756,1.59448,0.26337,0.42511,0.00599,0.40689,0.94276,0.94444,0.98242,0.6727,0.95032,0.88889,0.96076,0.67514,1.29062,1.4126,0.25224,0.48522,0.00821,0,0.0009209,0.0009209,0.0009209
111,247.694,1.13959,1.71736,0.2585,0.47403,0.00615,0.49927,0.89537,1,0.98333,0.66139,0.96201,0.88889,0.96076,0.67831,1.27907,1.40607,0.25324,0.49806,0.0082,0,0.000911,0.000911,0.000911
112,249.417,1.21991,1.64403,0.29065,0.54029,0.00555,0.30615,0.89601,1,0.9811,0.66405,0.87101,0.97222,0.9585,0.66975,1.16671,1.40103,0.25742,0.5102,0.00731,0,0.0009011,0.0009011,0.0009011
113,251.152,1.09568,1.60337,0.25279,0.44315,0.0054,0.47185,0.89461,1,0.9811,0.69026,0.95764,0.88889,0.9585,0.68958,1.0946,1.32637,0.25757,0.4867,0.00655,0,0.0008912,0.0008912,0.0008912
114,252.816,1.08678,1.63211,0.27203,0.49154,0.00527,0.57464,0.89461,1,0.9811,0.69026,0.95764,0.88889,0.9585,0.68958,1.0946,1.32637,0.25757,0.4867,0.00655,0,0.0008813,0.0008813,0.0008813
115,254.543,1.01214,1.42618,0.26073,0.43294,0.00537,0.387,0.89483,1,0.98098,0.68947,0.95276,0.88889,0.95833,0.71612,1.12911,1.29564,0.25251,0.41525,0.00689,0,0.0008714,0.0008714,0.0008714
116,256.334,1.08909,1.52732,0.26152,0.44859,0.00499,0.07215,0.89969,0.99662,0.98098,0.67597,0.94474,0.88889,0.95833,0.7092,1.15268,1.39142,0.24958,0.45624,0.00729,0,0.0008615,0.0008615,0.0008615
117,258.925,1.09438,1.84603,0.27069,0.55498,0.00493,0.27497,0.9712,0.93674,0.98176,0.67179,0.94239,0.90896,0.95875,0.69165,1.20166,1.46633,0.24857,0.45357,0.00762,0,0.0008516,0.0008516,0.0008516
118,261.416,1.12378,1.4989,0.3075,0.46798,0.00559,0.41005,0.9712,0.93674,0.98176,0.67179,0.94239,0.90896,0.95875,0.69165,1.20166,1.46633,0.24857,0.45357,0.00762,0,0.0008417,0.0008417,0.0008417
119,263.112,1.16552,1.77775,0.26202,0.53145,0.00515,0.07148,0.97122,0.93758,0.98319,0.67581,0.94244,0.90981,0.96026,0.68739,1.19743,1.47103,0.24795,0.44148,0.0075,0,0.0008318,0.0008318,0.0008318
120,264.858,1.07165,1.73338,0.29508,0.51469,0.00461,0.24941,0.97115,0.93537,0.98262,0.68086,0.94232,0.90781,0.95966,0.70058,1.11458,1.4094,0.24736,0.42517,0.0067,0,0.0008219,0.0008219,0.0008219
121,266.537,1.14314,1.87159,0.2691,0.55332,0.00519,0.73333,0.89899,0.98907,0.98098,0.69078,0.95268,0.88889,0.95833,0.7151,1.10301,1.265,0.24784,0.46617,0.00656,0,0.000812,0.000812,0.000812
122,268.24,1.1029,1.93491,0.26591,0.50147,0.0046,0.29739,0.89899,0.98907,0.98098,0.69078,0.95268,0.88889,0.95833,0.7151,1.10301,1.265,0.24784,0.46617,0.00656,0,0.0008021,0.0008021,0.0008021
123,270.004,1.03539,1.23773,0.27179,0.44351,0.00525,0,0.94323,0.92325,0.98098,0.68566,0.95986,0.88889,0.95833,0.72027,1.15117,1.23018,0.24651,0.47089,0.00701,0,0.0007922,0.0007922,0.0007922
124,271.953,1.05615,1.5612,0.26888,0.47423,0.00482,0.02597,0.93968,0.94444,0.98186,0.68971,0.96099,0.88889,0.95924,0.71714,1.13342,1.24119,0.24645,0.48793,0.0068,0,0.0007823,0.0007823,0.0007823
125,274.82,0.96464,1.42232,0.25714,0.44005,0.00474,0.06014,0.92141,0.97713,0.98302,0.67608,0.89521,0.94935,0.96059,0.70339,1.18432,1.29352,0.24526,0.41134,0.00705,0,0.0007724,0.0007724,0.0007724
126,276.915,1.04346,1.29123,0.28498,0.46581,0.00469,0,0.92141,0.97713,0.98302,0.67608,0.89521,0.94935,0.96059,0.70339,1.18432,1.29352,0.24526,0.41134,0.00705,0,0.0007625,0.0007625,0.0007625
127,278.639,1.08954,1.49649,0.28927,0.5121,0.00485,0.0687,0.92238,0.99038,0.98401,0.68032,0.89654,0.96301,0.96137,0.71655,1.15166,1.32598,0.24528,0.41958,0.00685,0,0.0007526,0.0007526,0.0007526
128,280.332,1.10096,1.38692,0.27753,0.51561,0.00508,0,0.94555,0.96496,0.98613,0.68514,0.91833,0.93719,0.96353,0.72729,1.13399,1.27022,0.24391,0.41597,0.00673,0,0.0007427,0.0007427,0.0007427
129,282.147,1.06354,1.47812,0.27057,0.47349,0.00453,0,0.92177,0.98212,0.98784,0.68908,0.97049,0.9137,0.96626,0.73093,1.15404,1.24254,0.24026,0.42881,0.00686,0,0.0007328,0.0007328,0.0007328
130,283.885,1.08616,1.4559,0.27138,0.48484,0.00451,0,0.92177,0.98212,0.98784,0.68908,0.97049,0.9137,0.96626,0.73093,1.15404,1.24254,0.24026,0.42881,0.00686,0,0.0007229,0.0007229,0.0007229
131,285.575,1.06092,1.44576,0.26047,0.50298,0.00448,0,0.94318,1,0.99008,0.68027,0.91484,0.97222,0.96879,0.72878,1.18849,1.25769,0.23878,0.40908,0.00704,0,0.000713,0.000713,0.000713
132,288.094,1.02909,1.61988,0.26626,0.48913,0.00482,0,0.93818,1,0.99008,0.68576,0.91183,0.97222,0.96879,0.7327,1.25807,1.21558,0.23832,0.36073,0.00722,0,0.0007031,0.0007031,0.0007031
133,290.5,1.03316,1.45128,0.27354,0.47556,0.00469,0,0.94112,1,0.99065,0.68632,0.91474,0.97222,0.96938,0.73339,1.23871,1.20735,0.23794,0.3533,0.00711,0,0.0006932,0.0006932,0.0006932
134,292.209,1.06308,1.67078,0.27599,0.54544,0.00434,0.00157,0.94112,1,0.99065,0.68632,0.91474,0.97222,0.96938,0.73339,1.23871,1.20735,0.23794,0.3533,0.00711,0,0.0006833,0.0006833,0.0006833
135,293.897,1.02969,1.45656,0.25934,0.50569,0.00437,0,0.9461,1,0.99145,0.68074,0.91922,0.97222,0.97008,0.73265,1.19436,1.19412,0.23721,0.36017,0.00694,0,0.0006734,0.0006734,0.0006734
136,295.561,1.09979,1.33195,0.26255,0.48717,0.00483,0,0.94672,0.98728,0.99145,0.68599,0.92012,0.96005,0.97008,0.7392,1.17235,1.14534,0.23944,0.37679,0.00681,0,0.0006635,0.0006635,0.0006635
137,297.306,1.02904,1.4917,0.24275,0.46527,0.00466,0,0.97018,0.97222,0.99096,0.68756,0.94433,0.94444,0.96937,0.7388,1.15943,1.13626,0.24002,0.39403,0.00682,0,0.0006536,0.0006536,0.0006536
138,299.039,0.99386,1.09646,0.25244,0.40079,0.00482,0,0.97018,0.97222,0.99096,0.68756,0.94433,0.94444,0.96937,0.7388,1.15943,1.13626,0.24002,0.39403,0.00682,0,0.0006437,0.0006437,0.0006437
139,301.037,1.02449,1.40951,0.24872,0.43339,0.00523,0.22839,0.96464,0.97222,0.9905,0.68448,0.94338,0.94444,0.9687,0.73935,1.15276,1.1405,0.24139,0.40984,0.0068,0,0.0006338,0.0006338,0.0006338
140,303.507,1.04246,1.28159,0.25619,0.45224,0.00537,0,0.9601,0.97222,0.9905,0.68728,0.94347,0.92744,0.9687,0.7426,1.15878,1.12679,0.24029,0.40853,0.00678,0,0.0006239,0.0006239,0.0006239
141,305.713,0.97894,1.23718,0.2647,0.43188,0.00445,0,0.95337,0.97222,0.9905,0.6821,0.92439,0.94444,0.96792,0.72944,1.16036,1.1021,0.23913,0.38916,0.00668,0,0.000614,0.000614,0.000614
142,307.413,1.01023,1.31962,0.2632,0.46457,0.00435,0,0.95337,0.97222,0.9905,0.6821,0.92439,0.94444,0.96792,0.72944,1.16036,1.1021,0.23913,0.38916,0.00668,0,0.0006041,0.0006041,0.0006041
143,309.069,1.02609,1.33629,0.25661,0.48746,0.00492,0,0.95462,0.97222,0.9905,0.67415,0.92734,0.94444,0.96792,0.72587,1.19233,1.09893,0.23895,0.37884,0.0069,0,0.0005942,0.0005942,0.0005942
144,310.759,0.96051,1.26271,0.2581,0.45521,0.00479,0.05283,0.95865,0.97222,0.9905,0.67349,0.94042,0.94444,0.9687,0.74197,1.1967,1.09441,0.24063,0.33216,0.00695,0,0.0005843,0.0005843,0.0005843
145,312.492,1.03453,1.43185,0.28131,0.48669,0.00412,0,0.96181,0.97222,0.9905,0.67819,0.94075,0.94444,0.9687,0.72897,1.19739,1.11306,0.24109,0.34496,0.00713,0,0.0005744,0.0005744,0.0005744
146,314.146,1.04464,1.44734,0.25173,0.51821,0.00478,0,0.96181,0.97222,0.9905,0.67819,0.94075,0.94444,0.9687,0.72897,1.19739,1.11306,0.24109,0.34496,0.00713,0,0.0005645,0.0005645,0.0005645
147,316.314,1.1178,1.61772,0.27837,0.54465,0.00456,0,0.96344,0.97222,0.99133,0.67689,1,0.90492,0.96958,0.72704,1.2132,1.12008,0.24153,0.34417,0.00734,0,0.0005546,0.0005546,0.0005546
148,318.988,1.02417,1.2794,0.26448,0.4257,0.00498,0,0.96467,0.97222,0.99133,0.68525,1,0.9066,0.96958,0.73779,1.19198,1.11858,0.24141,0.39855,0.00722,0,0.0005447,0.0005447,0.0005447
149,320.933,1.05755,1.5397,0.25129,0.49797,0.00451,0,0.96345,0.97222,0.9905,0.69265,0.94353,0.9285,0.9687,0.73525,1.18047,1.12575,0.2409,0.3785,0.00712,0,0.0005348,0.0005348,0.0005348
150,322.607,1.03255,1.4516,0.25975,0.44462,0.00453,0,0.96345,0.97222,0.9905,0.69265,0.94353,0.9285,0.9687,0.73525,1.18047,1.12575,0.2409,0.3785,0.00712,0,0.0005249,0.0005249,0.0005249
151,324.277,0.9765,1.25841,0.25676,0.46663,0.00428,0,0.96535,0.97222,0.9905,0.68718,0.94735,0.91667,0.9687,0.73292,1.15965,1.12284,0.23874,0.3714,0.00694,0,0.000515,0.000515,0.000515
152,325.957,1.07159,1.36036,0.25538,0.44181,0.00461,0,0.94525,0.95943,0.98966,0.68884,0.97437,0.88889,0.96794,0.74684,1.14892,1.12193,0.23831,0.37864,0.00682,0,0.0005051,0.0005051,0.0005051
153,327.707,1.07033,1.29477,0.25828,0.48594,0.00451,0,0.94062,0.97222,0.98966,0.69317,0.96321,0.91667,0.96794,0.75079,1.18086,1.12392,0.23827,0.37271,0.00708,0,0.0004952,0.0004952,0.0004952
154,329.47,0.99081,1.3533,0.24441,0.40595,0.00485,0,0.94062,0.97222,0.98966,0.69317,0.96321,0.91667,0.96794,0.75079,1.18086,1.12392,0.23827,0.37271,0.00708,0,0.0004853,0.0004853,0.0004853
155,332.134,1.02174,1.2443,0.25685,0.42149,0.00433,0,0.94074,0.97222,0.98887,0.68439,0.96352,0.91667,0.96794,0.73929,1.20315,1.13458,0.23866,0.37773,0.00717,0,0.0004754,0.0004754,0.0004754
156,334.346,0.93043,1.30029,0.25974,0.40401,0.00424,0,0.94553,0.96461,0.98966,0.6884,0.9639,0.91667,0.96794,0.75116,1.17094,1.13496,0.23763,0.37065,0.00693,0,0.0004655,0.0004655,0.0004655
157,336.008,1.00902,1.46232,0.24058,0.45646,0.00446,0,0.94534,0.961,0.98966,0.6859,0.96415,0.91667,0.96794,0.74668,1.15464,1.13702,0.23832,0.36052,0.00666,0,0.0004556,0.0004556,0.0004556
158,337.769,1.02001,1.52979,0.26657,0.43821,0.00433,0,0.94534,0.961,0.98966,0.6859,0.96415,0.91667,0.96794,0.74668,1.15464,1.13702,0.23832,0.36052,0.00666,0,0.0004457,0.0004457,0.0004457
159,339.419,1.0343,1.61677,0.26293,0.47497,0.00434,0,0.94865,0.94444,0.98966,0.70201,0.96384,0.91667,0.96794,0.73764,1.12947,1.15893,0.23857,0.35036,0.00654,0,0.0004358,0.0004358,0.0004358
160,341.308,0.99839,1.32927,0.25372,0.45432,0.00447,0,0.97193,0.96215,0.9905,0.70187,0.96992,0.91667,0.9687,0.73168,1.12155,1.17988,0.23796,0.35385,0.00659,0,0.0004259,0.0004259,0.0004259
161,343.138,1.03493,1.55502,0.27438,0.4832,0.00437,0,0.97204,0.96574,0.99096,0.69355,0.9441,0.93833,0.96937,0.73445,1.13752,1.1624,0.23738,0.35199,0.00668,0,0.000416,0.000416,0.000416
162,345.53,0.96988,1.21099,0.26106,0.40228,0.00405,0,0.97204,0.96574,0.99096,0.69355,0.9441,0.93833,0.96937,0.73445,1.13752,1.1624,0.23738,0.35199,0.00668,0,0.0004061,0.0004061,0.0004061
163,348.121,0.92771,1.25926,0.23684,0.41349,0.00491,0.58597,0.97212,0.96875,0.99096,0.6925,0.94427,0.94132,0.96937,0.73327,1.14832,1.15665,0.23695,0.35032,0.00674,0,0.0003962,0.0003962,0.0003962
164,350.012,0.99551,1.55256,0.23516,0.5265,0.00441,0,0.97217,0.97053,0.99096,0.69368,0.94437,0.9431,0.96937,0.73963,1.14494,1.14935,0.23583,0.34797,0.00666,0,0.0003863,0.0003863,0.0003863
165,351.76,0.88216,1.37771,0.24705,0.46385,0.0042,0,0.9693,0.97222,0.99096,0.68293,0.94132,0.94444,0.96937,0.73019,1.12988,1.14942,0.23533,0.33755,0.00657,0,0.0003764,0.0003764,0.0003764
166,353.481,0.91321,1.11741,0.244,0.3646,0.00432,0.02751,0.9693,0.97222,0.99096,0.68293,0.94132,0.94444,0.96937,0.73019,1.12988,1.14942,0.23533,0.33755,0.00657,0,0.0003665,0.0003665,0.0003665
167,355.245,0.9818,1.41516,0.23188,0.46033,0.00458,0,0.96719,0.97222,0.99145,0.6859,0.93933,0.94444,0.97008,0.73186,1.12196,1.16327,0.23458,0.33975,0.00649,0,0.0003566,0.0003566,0.0003566
168,356.98,1.02024,1.56344,0.25334,0.43739,0.0042,0,0.97276,0.99198,0.99203,0.68373,0.94553,0.96446,0.97087,0.72953,1.11558,1.19301,0.23394,0.35246,0.00645,0,0.0003467,0.0003467,0.0003467
169,358.861,0.96829,1.2458,0.23813,0.46952,0.00406,0,0.97285,0.99559,0.99203,0.69919,0.94572,0.96808,0.97087,0.71884,1.11203,1.19488,0.23304,0.36779,0.00644,0,0.0003368,0.0003368,0.0003368
170,361.361,0.93678,1.22112,0.23286,0.40182,0.00457,0,0.97285,0.99559,0.99203,0.69919,0.94572,0.96808,0.97087,0.71884,1.11203,1.19488,0.23304,0.36779,0.00644,0,0.0003269,0.0003269,0.0003269
171,363.562,1.05742,1.32791,0.26005,0.50299,0.00428,0,0.97288,0.99654,0.99203,0.70315,0.94578,0.96906,0.97087,0.72261,1.11714,1.17444,0.23257,0.35979,0.00648,0,0.000317,0.000317,0.000317
172,365.268,0.95514,1.41739,0.24467,0.43471,0.0041,0,0.97291,0.99757,0.99203,0.70042,0.94585,0.9704,0.97087,0.72749,1.11586,1.14888,0.23163,0.35705,0.00649,0,0.0003071,0.0003071,0.0003071
173,367.029,1.00379,1.25891,0.24161,0.45032,0.0049,0.34656,0.97292,0.99794,0.99203,0.69785,0.94585,0.97046,0.97087,0.7345,1.11007,1.13329,0.23127,0.36317,0.00644,0,0.0002972,0.0002972,0.0002972
174,368.757,1.12824,1.68564,0.25076,0.50739,0.00444,0,0.97292,0.99794,0.99203,0.69785,0.94585,0.97046,0.97087,0.7345,1.11007,1.13329,0.23127,0.36317,0.00644,0,0.0002873,0.0002873,0.0002873
175,370.535,0.89597,1.05057,0.24592,0.40702,0.00433,0,0.97295,0.99906,0.99203,0.68913,0.94591,0.97159,0.97087,0.72783,1.1088,1.12971,0.23131,0.35964,0.00646,0,0.0002774,0.0002774,0.0002774
176,372.274,0.96762,1.2034,0.23394,0.38365,0.00447,0,0.97292,0.99802,0.99203,0.68744,0.94585,0.97052,0.97087,0.73915,1.11459,1.13019,0.23355,0.36047,0.00646,0,0.0002675,0.0002675,0.0002675
177,374.739,0.92609,1.40693,0.2392,0.48398,0.00412,0,0.9729,0.99731,0.99203,0.69145,0.94582,0.96982,0.97087,0.72839,1.13039,1.13542,0.23355,0.36306,0.00654,0,0.0002576,0.0002576,0.0002576
178,377.226,0.95949,1.22132,0.25716,0.48531,0.00466,0,0.9729,0.99731,0.99203,0.69145,0.94582,0.96982,0.97087,0.72839,1.13039,1.13542,0.23355,0.36306,0.00654,0,0.0002477,0.0002477,0.0002477
179,379.05,0.92679,1.0824,0.23066,0.44677,0.00453,0.15827,0.97283,0.99458,0.99203,0.69615,0.94568,0.96732,0.97087,0.73253,1.14539,1.13536,0.23371,0.36685,0.00662,0,0.0002378,0.0002378,0.0002378
180,380.821,1.07666,1.78739,0.26519,0.52087,0.00434,0,0.97281,0.99403,0.99203,0.69945,0.94564,0.96651,0.97087,0.73796,1.15648,1.12449,0.2334,0.37144,0.00667,0,0.0002279,0.0002279,0.0002279
181,382.571,0.97695,1.34544,0.2529,0.44458,0.00424,0,0.97279,0.99314,0.99203,0.70034,0.94559,0.96562,0.97014,0.73295,1.17356,1.12322,0.2327,0.37872,0.00671,0,0.000218,0.000218,0.000218
182,384.251,0.99398,1.31852,0.25061,0.4355,0.00424,0,0.97279,0.99314,0.99203,0.70034,0.94559,0.96562,0.97014,0.73295,1.17356,1.12322,0.2327,0.37872,0.00671,0,0.0002081,0.0002081,0.0002081
183,385.95,0.99013,1.44187,0.25489,0.45358,0.00433,0,0.97278,0.99298,0.99203,0.70074,0.94558,0.96545,0.97014,0.72998,1.16358,1.12682,0.23218,0.3725,0.00666,0,0.0001982,0.0001982,0.0001982
184,387.742,0.93743,1.28622,0.24582,0.40377,0.00496,0.42105,0.97274,0.99135,0.99203,0.69798,0.94549,0.96381,0.97014,0.73825,1.1641,1.1278,0.23196,0.37116,0.00658,0,0.0001883,0.0001883,0.0001883
185,390.281,0.90904,1.16448,0.24546,0.38434,0.00426,0,0.97268,0.98927,0.99203,0.69584,0.94537,0.9615,0.97087,0.7345,1.13681,1.12184,0.23199,0.36428,0.00648,0,0.0001784,0.0001784,0.0001784
186,392.598,1.01417,1.40218,0.22118,0.48434,0.00417,0,0.97268,0.98927,0.99203,0.69584,0.94537,0.9615,0.97087,0.7345,1.13681,1.12184,0.23199,0.36428,0.00648,0,0.0001685,0.0001685,0.0001685
187,394.345,0.92704,1.23572,0.24869,0.4275,0.00384,0,0.97273,0.99101,0.99203,0.69161,0.94547,0.96347,0.97087,0.73553,1.12929,1.1139,0.23185,0.36317,0.00641,0,0.0001586,0.0001586,0.0001586
188,396.069,0.97455,1.32355,0.22382,0.47371,0.00436,0,0.97275,0.99185,0.99203,0.69208,0.94551,0.96407,0.97087,0.7346,1.12792,1.11553,0.2305,0.35326,0.00642,0,0.0001487,0.0001487,0.0001487
189,397.794,0.97569,1.29449,0.24259,0.44246,0.00409,0,0.97274,0.99128,0.99203,0.69576,0.94547,0.9635,0.97087,0.73765,1.11901,1.11519,0.23048,0.34992,0.00641,0,0.0001388,0.0001388,0.0001388
190,399.502,1.00119,1.3885,0.24091,0.44367,0.00397,0,0.97274,0.99128,0.99203,0.69576,0.94547,0.9635,0.97087,0.73765,1.11901,1.11519,0.23048,0.34992,0.00641,0,0.0001289,0.0001289,0.0001289
191,405.512,0.97275,0.84288,0.2292,0.35336,0.00513,0,0.97278,0.993,0.99203,0.69587,0.94558,0.96545,0.97087,0.73767,1.11897,1.1142,0.22997,0.34767,0.00643,0,0.000119,0.000119,0.000119
192,408.817,0.89452,0.84691,0.23825,0.30212,0.00492,0,0.97285,0.99562,0.99203,0.69529,0.94574,0.96839,0.97087,0.73454,1.11959,1.11116,0.22928,0.3448,0.00647,0,0.0001091,0.0001091,0.0001091
193,410.522,0.87586,0.8988,0.23065,0.31094,0.00503,0,0.97293,0.9985,0.99203,0.68896,0.94588,0.97105,0.97087,0.73473,1.11694,1.10196,0.22897,0.34072,0.00649,0,9.92e-05,9.92e-05,9.92e-05
194,412.182,0.78433,0.73983,0.23781,0.2858,0.00462,0,0.97293,0.9985,0.99203,0.68896,0.94588,0.97105,0.97087,0.73473,1.11694,1.10196,0.22897,0.34072,0.00649,0,8.93e-05,8.93e-05,8.93e-05
195,413.901,0.89024,0.8091,0.2302,0.34697,0.00475,0,0.97296,0.99937,0.99203,0.68774,0.94593,0.97194,0.97087,0.73144,1.12087,1.09887,0.22858,0.34056,0.0065,0,7.94e-05,7.94e-05,7.94e-05
196,415.575,1.02865,0.88671,0.246,0.4355,0.00501,0,0.97004,1,0.99203,0.69522,0.94256,0.97222,0.97087,0.73433,1.11739,1.10075,0.22792,0.33776,0.0065,0,6.95e-05,6.95e-05,6.95e-05
197,417.483,0.82428,0.77318,0.23752,0.32185,0.00439,0,0.96803,1,0.99203,0.69827,0.94092,0.97222,0.97087,0.73631,1.11476,1.1014,0.2271,0.33427,0.00651,0,5.96e-05,5.96e-05,5.96e-05
198,419.933,0.88584,0.80667,0.22513,0.32124,0.00408,0,0.96803,1,0.99203,0.69827,0.94092,0.97222,0.97087,0.73631,1.11476,1.1014,0.2271,0.33427,0.00651,0,4.97e-05,4.97e-05,4.97e-05
199,422.088,0.79239,0.69892,0.21764,0.30919,0.00431,0,0.96679,1,0.99068,0.70167,0.93993,0.97222,0.9694,0.73285,1.12238,1.10137,0.22619,0.33529,0.00654,0,3.98e-05,3.98e-05,3.98e-05
200,423.823,0.87353,0.74897,0.23997,0.31812,0.00471,0,0.96656,1,0.99068,0.69896,0.9395,0.97222,0.9694,0.73518,1.11738,1.10705,0.22564,0.33484,0.00657,0,2.99e-05,2.99e-05,2.99e-05
